url	smartphone
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy M30 64GB Dual Chip Android 8.1 Tela 6.4"" Octa-Core 4G Câmera 13MP +5MP+5MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A20 32GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Dupla 13MP + 5MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	Smartphone Samsung Galaxy S10 128GB Nano Chip Android Tela 6.1'' Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Azul
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	iPhone SE 32GB Ouro Rosa IOS 4G Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	Smartphone Samsung Galaxy S10 128GB Dual Chip Android Tela 6.1” Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Motorola Moto G6 32GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	iPhone SE 32GB Cinza Espacial IOS 4G Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	iPhone Xs 512GB Cinza Espacial IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy A9 128GB Dual Chip Android 8.0 Tela 6.3"" Octa-Core 2.2GHz 4G Câmera 24MP (f1.7) + 5MP (f2.2) + 10MP (f2.4) + 8MP (f2.4) - Rosa"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz  4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	iPhone 7 256GB Ouro Rosa Desbloqueado IOS 10 Wi-fi + 4G Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Vermelho"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz 4G Câmera 8MP - Cobre"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy A7 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 2.2GHz 4G Câmera Triple - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Motorola Moto G6 64GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Motorola Moto G6 Plus Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	iPhone Xr 256GB Coral IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	Smartphone Samsung Galaxy J2 Core - Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Motorola Moto Z3 Play 128GB  Dual Chip Android Oreo - 8.0 Tela 6"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Ônix"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"iPhone 6S Plus 32GB Rosê Tela 5,5"" IOS 4G Câmera 12MP - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy M30 64GB Dual Chip Android 8.1 Tela 6.4"" Octa-Core 4G Câmera 13MP +5MP+5MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz  4G Câmera 8MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3	iPhone XR 128GB Vermelho Tela 6.1” iOS 12 4G 12MP - Apple
